execution_time,memory_usage,fps,success,pixel,distance,consumption,cpu_utilization,device_type,GPU,Config
51.0,44.8,30,True,57600,7,8,100.0,Nano 2GB,False,None
58.0,48.6,30,True,921600,17,8,100.0,Nano 2GB,False,None
48.0,44.2,16,False,25440,595,7,96.0,Nano 2GB,False,None
63.0,48.9,20,True,921600,16,7,100.0,Nano 2GB,False,None
48.0,44.4,26,False,25440,610,8,100.0,Nano 2GB,False,None
57.0,47.7,30,True,102240,14,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,609,8,100.0,Nano 2GB,False,None
58.0,48.1,30,True,409920,0,8,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,5,8,100.0,Nano 2GB,False,None
49.0,44.3,20,False,25440,593,8,95.5,Nano 2GB,False,None
61.0,48.4,16,True,921600,64,8,100.0,Nano 2GB,False,None
51.0,45.5,12,True,102240,36,7,75.8,Nano 2GB,False,None
52.0,48.3,12,True,921600,26,7,76.5,Nano 2GB,False,None
59.0,47.9,26,True,230400,34,8,100.0,Nano 2GB,False,None
55.0,48.5,16,True,409920,15,8,90.0,Nano 2GB,False,None
57.0,47.9,30,True,230400,5,8,96.7,Nano 2GB,False,None
48.0,43.9,30,False,25440,0,8,100.0,Nano 2GB,False,None
48.0,44.3,20,False,25440,595,8,100.0,Nano 2GB,False,None
48.0,43.9,20,False,25440,595,7,94.7,Nano 2GB,False,None
53.0,48.3,12,True,230400,30,6,76.5,Nano 2GB,False,None
48.0,43.9,26,False,25440,609,7,100.0,Nano 2GB,False,None
56.0,48.4,12,True,921600,21,7,75.8,Nano 2GB,False,None
49.0,44.4,26,False,25440,609,8,100.0,Nano 2GB,False,None
60.0,48.3,16,True,230400,24,7,100.0,Nano 2GB,False,None
58.0,48.3,16,True,230400,19,7,100.0,Nano 2GB,False,None
51.0,44.8,30,True,57600,0,8,100.0,Nano 2GB,False,None
69.0,48.9,20,True,921600,30,7,100.0,Nano 2GB,False,None
100.0,48.3,12,True,921600,18,7,78.8,Nano 2GB,False,None
51.0,44.3,26,False,25440,264,8,100.0,Nano 2GB,False,None
58.0,48.4,30,True,230400,17,8,100.0,Nano 2GB,False,None
49.0,43.9,16,False,25440,595,6,91.7,Nano 2GB,False,None
48.0,44.3,20,False,25440,595,8,100.0,Nano 2GB,False,None
61.0,48.4,16,True,921600,11,8,96.0,Nano 2GB,False,None
48.0,43.9,20,False,25440,595,7,100.0,Nano 2GB,False,None
48.0,43.9,16,False,25440,105,7,96.0,Nano 2GB,False,None
55.0,48.1,26,True,409920,20,8,100.0,Nano 2GB,False,None
57.0,45.6,20,True,102240,9,8,100.0,Nano 2GB,False,None
58.0,48.6,30,True,921600,8,8,100.0,Nano 2GB,False,None
115.0,47.8,30,True,102240,11,8,100.0,Nano 2GB,False,None
52.0,45.5,12,True,102240,17,7,78.8,Nano 2GB,False,None
51.0,44.8,30,True,57600,13,8,100.0,Nano 2GB,False,None
59.0,48.1,30,True,409920,6,8,100.0,Nano 2GB,False,None
55.0,44.8,30,True,57600,9,8,100.0,Nano 2GB,False,None
60.0,48.1,30,True,409920,31,8,100.0,Nano 2GB,False,None
60.0,48.1,30,True,409920,11,8,100.0,Nano 2GB,False,None
59.0,47.8,26,True,230400,6,8,100.0,Nano 2GB,False,None
49.0,44.3,26,False,25440,609,8,100.0,Nano 2GB,False,None
60.0,48.9,20,True,921600,7,7,100.0,Nano 2GB,False,None
53.0,48.3,12,True,921600,26,7,75.8,Nano 2GB,False,None
61.0,48.6,26,True,409920,3,7,100.0,Nano 2GB,False,None
51.0,43.9,30,False,25440,24,8,100.0,Nano 2GB,False,None
58.0,47.7,26,True,102240,11,8,100.0,Nano 2GB,False,None
59.0,48.6,16,True,409920,45,7,100.0,Nano 2GB,False,None
49.0,44.3,20,False,25440,595,8,95.2,Nano 2GB,False,None
59.0,48.4,30,True,230400,7,7,100.0,Nano 2GB,False,None
51.0,47.8,20,True,230400,8,8,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,486,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,29,7,100.0,Nano 2GB,False,None
59.0,48.9,20,True,921600,12,7,100.0,Nano 2GB,False,None
59.0,48.9,20,True,921600,12,7,100.0,Nano 2GB,False,None
60.0,48.6,30,True,921600,8,8,100.0,Nano 2GB,False,None
50.0,43.9,20,False,25440,593,7,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,577,8,100.0,Nano 2GB,False,None
68.0,43.8,12,False,25440,27,7,100.0,Nano 2GB,False,None
60.0,45.6,20,True,102240,17,8,100.0,Nano 2GB,False,None
59.0,48.6,20,True,409920,14,7,100.0,Nano 2GB,False,None
55.0,45.5,12,True,102240,20,7,78.8,Nano 2GB,False,None
50.0,44.2,12,True,25440,27,6,97.9,Nano 2GB,False,None
56.0,48.5,12,True,409920,10,7,76.5,Nano 2GB,False,None
57.0,47.7,26,True,102240,5,8,100.0,Nano 2GB,False,None
49.0,44.3,26,False,25440,264,8,100.0,Nano 2GB,False,None
63.0,48.1,26,True,409920,16,7,100.0,Nano 2GB,False,None
49.0,43.9,20,False,25440,593,7,95.2,Nano 2GB,False,None
51.0,43.9,16,False,25440,105,7,96.0,Nano 2GB,False,None
51.0,43.9,26,True,25440,264,8,96.6,Nano 2GB,False,None
60.0,48.9,20,True,921600,3,7,100.0,Nano 2GB,False,None
60.0,48.1,26,True,409920,6,7,100.0,Nano 2GB,False,None
59.0,48.9,20,True,921600,5,7,100.0,Nano 2GB,False,None
58.0,48.6,26,True,409920,3,7,100.0,Nano 2GB,False,None
60.0,45.6,20,True,102240,21,8,100.0,Nano 2GB,False,None
57.0,45.5,16,True,102240,19,8,96.3,Nano 2GB,False,None
51.0,48.3,12,True,230400,17,6,81.8,Nano 2GB,False,None
60.0,48.1,30,True,409920,10,8,100.0,Nano 2GB,False,None
58.0,48.3,16,True,230400,21,7,100.0,Nano 2GB,False,None
49.0,44.2,16,False,25440,577,7,96.0,Nano 2GB,False,None
59.0,47.9,30,True,230400,3,8,100.0,Nano 2GB,False,None
49.0,44.0,12,False,25440,27,8,75.8,Nano 2GB,False,None
57.0,47.9,26,True,230400,7,8,100.0,Nano 2GB,False,None
57.0,47.9,26,True,230400,9,8,100.0,Nano 2GB,False,None
59.0,45.5,16,True,102240,11,8,100.0,Nano 2GB,False,None
60.0,47.9,30,True,230400,10,8,100.0,Nano 2GB,False,None
60.0,48.6,30,True,921600,10,8,100.0,Nano 2GB,False,None
49.0,43.9,20,False,25440,595,7,95.2,Nano 2GB,False,None
51.0,44.8,30,True,57600,26,8,100.0,Nano 2GB,False,None
59.0,44.9,30,True,57600,26,8,93.3,Nano 2GB,False,None
60.0,48.6,30,True,921600,8,8,100.0,Nano 2GB,False,None
51.0,44.8,30,True,57600,5,8,100.0,Nano 2GB,False,None
51.0,47.8,20,True,230400,12,8,100.0,Nano 2GB,False,None
52.0,48.3,12,True,230400,30,9,75.8,Nano 2GB,False,None
48.0,43.8,16,False,25440,595,7,92.0,Nano 2GB,False,None
77.0,48.6,26,True,409920,11,7,100.0,Nano 2GB,False,None
59.0,45.5,16,True,102240,19,7,100.0,Nano 2GB,False,None
52.0,48.6,26,True,921600,26,8,100.0,Nano 2GB,False,None
