execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption
107,2023-06-06 18:52:38.087832,33.5,49.0,25440,12,False,0,7
30,2023-06-06 18:52:38.121010,35.7,49.0,25440,12,False,0,7
15,2023-06-06 18:52:38.190096,11.1,49.0,25440,12,False,0,7
15,2023-06-06 18:52:38.274139,8.8,49.0,25440,12,False,0,7
14,2023-06-06 18:52:38.357492,6.2,49.0,25440,12,False,0,7
15,2023-06-06 18:52:38.442802,17.6,49.0,25440,12,False,0,7
16,2023-06-06 18:52:38.528143,28.1,49.0,25440,12,False,0,7
14,2023-06-06 18:52:38.610030,33.3,49.0,25440,12,False,0,7
14,2023-06-06 18:52:38.694170,37.1,49.0,25440,12,False,0,7
16,2023-06-06 18:52:38.780029,14.7,49.0,25440,12,False,0,7
15,2023-06-06 18:52:38.863036,20.6,49.0,25440,12,False,0,7
15,2023-06-06 18:52:38.947062,6.3,49.0,25440,12,False,0,7
15,2023-06-06 18:52:39.030792,6.1,49.0,25440,12,False,0,7
15,2023-06-06 18:52:39.114466,6.3,49.0,25440,12,False,0,7
15,2023-06-06 18:52:39.198103,6.1,49.0,25440,12,False,0,7
14,2023-06-06 18:52:39.281644,9.1,49.0,25440,12,False,0,7
14,2023-06-06 18:52:39.366203,8.8,49.0,25440,12,False,0,7
14,2023-06-06 18:52:39.449517,8.8,49.0,25440,12,False,0,7
27,2023-06-06 18:52:39.546620,23.1,49.0,25440,12,True,349.0,7
17,2023-06-06 18:52:39.620457,42.9,49.0,25440,12,False,349.0,7
13,2023-06-06 18:52:39.700186,53.3,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:39.784969,28.9,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:39.869484,18.8,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:39.953405,6.1,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:40.037857,6.1,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:40.122127,6.1,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:40.206195,11.4,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:40.290368,9.1,49.0,25440,12,False,349.0,7
15,2023-06-06 18:52:40.375140,8.6,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:40.458463,6.3,49.0,25440,12,False,349.0,7
14,2023-06-06 18:52:40.542437,18.8,49.0,25440,12,False,349.0,7
13,2023-06-06 18:52:40.625480,35.3,49.0,25440,12,False,349.0,7
16,2023-06-06 18:52:40.712686,26.5,49.0,25440,12,True,225.0,7
20,2023-06-06 18:52:40.800671,20.6,49.0,25440,12,True,10.0,7
25,2023-06-06 18:52:40.889263,11.8,49.0,25440,12,True,43.0,7
17,2023-06-06 18:52:40.965662,12.5,49.0,25440,12,False,43.0,7
15,2023-06-06 18:52:41.048000,6.2,49.0,25440,12,False,43.0,7
15,2023-06-06 18:52:41.131993,8.8,49.0,25440,12,False,43.0,7
15,2023-06-06 18:52:41.216216,6.2,49.0,25440,12,False,43.0,7
15,2023-06-06 18:52:41.299733,11.4,49.0,25440,12,False,43.0,7
15,2023-06-06 18:52:41.384001,6.1,49.0,25440,12,False,43.0,7
14,2023-06-06 18:52:41.467332,6.3,49.0,25440,12,False,43.0,7
16,2023-06-06 18:52:41.552413,23.5,49.0,25440,12,True,437.0,7
13,2023-06-06 18:52:41.633225,36.4,49.0,25440,12,False,437.0,7
13,2023-06-06 18:52:41.717591,23.5,49.1,25440,12,False,437.0,7
19,2023-06-06 18:52:41.808511,22.2,49.1,25440,12,False,437.0,7
15,2023-06-06 18:52:41.889132,12.1,49.1,25440,12,False,437.0,7
15,2023-06-06 18:52:41.973109,8.8,49.1,25440,12,False,437.0,7
15,2023-06-06 18:52:42.056991,8.8,49.1,25440,12,False,437.0,7
16,2023-06-06 18:52:42.142509,11.4,49.1,25440,12,True,117.0,7
17,2023-06-06 18:52:42.226507,9.1,49.1,25440,12,True,27.0,7
15,2023-06-06 18:52:42.308309,9.1,49.1,25440,12,False,27.0,7
15,2023-06-06 18:52:42.392139,6.1,49.0,25440,12,False,27.0,7
15,2023-06-06 18:52:42.476024,6.3,49.0,25440,12,False,27.0,7
13,2023-06-06 18:52:42.558154,26.5,49.0,25440,12,False,27.0,7
14,2023-06-06 18:52:42.643176,36.4,49.1,25440,12,False,27.0,7
14,2023-06-06 18:52:42.727051,27.0,49.0,25440,12,False,27.0,7
15,2023-06-06 18:52:42.811981,15.2,49.0,25440,12,False,27.0,7
15,2023-06-06 18:52:42.895545,18.2,49.0,25440,12,False,27.0,7
15,2023-06-06 18:52:42.979982,6.1,49.0,25440,12,False,27.0,7
17,2023-06-06 18:52:43.066293,8.6,49.0,25440,12,False,27.0,7
17,2023-06-06 18:52:43.150008,9.1,49.0,25440,12,False,27.0,7
17,2023-06-06 18:52:43.234485,6.1,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:43.317905,6.1,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:43.402531,11.4,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:43.485687,6.2,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:43.569818,31.4,49.0,25440,12,False,27.0,7
17,2023-06-06 18:52:43.654209,35.3,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:43.737149,15.6,49.0,25440,12,False,27.0,7
17,2023-06-06 18:52:43.821599,15.2,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:43.905286,20.6,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:43.989199,6.1,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:44.073110,8.8,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:44.156829,8.8,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:44.240909,6.3,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:44.324729,6.1,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:44.408519,6.3,49.0,25440,12,False,27.0,7
16,2023-06-06 18:52:44.491896,6.1,49.0,25440,12,False,27.0,7
