execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
7,2023-06-02 11:51:56.332687,45.3,86.7,25440,12,False,206.0,22,
11,2023-06-02 11:51:56.420683,37.6,86.7,25440,12,False,206.0,22,
12,2023-06-02 11:51:56.506267,41.5,86.7,25440,12,False,206.0,22,
9,2023-06-02 11:51:56.587108,42.2,86.7,25440,12,False,206.0,22,
15,2023-06-02 11:51:56.678042,40.8,86.7,25440,12,False,206.0,22,
7,2023-06-02 11:51:56.753515,44.9,86.7,25440,12,False,206.0,22,
16,2023-06-02 11:51:56.847183,35.4,86.7,25440,12,False,206.0,22,
6,2023-06-02 11:51:56.921361,51.6,86.7,25440,12,False,206.0,22,
17,2023-06-02 11:51:57.015471,37.8,86.7,25440,12,False,206.0,22,
6,2023-06-02 11:51:57.088716,52.5,86.7,25440,12,False,206.0,22,
17,2023-06-02 11:51:57.182888,37.2,86.7,25440,12,False,206.0,22,
6,2023-06-02 11:51:57.255842,53.7,86.7,25440,12,False,206.0,22,
13,2023-06-02 11:51:57.345855,36.6,86.7,25440,12,False,206.0,22,
6,2023-06-02 11:51:57.423910,46.9,86.7,25440,12,False,206.0,22,
17,2023-06-02 11:51:57.518095,37.4,86.7,25440,12,False,206.0,22,
6,2023-06-02 11:51:57.591068,51.7,86.7,25440,12,False,206.0,22,
15,2023-06-02 11:51:57.683416,37.7,86.7,25440,12,False,206.0,22,
7,2023-06-02 11:51:57.758810,47.9,86.7,25440,12,False,206.0,22,
14,2023-06-02 11:51:57.850113,38.1,86.7,25440,12,False,206.0,22,
6,2023-06-02 11:51:57.925931,50.4,86.7,25440,12,False,206.0,22,
15,2023-06-02 11:51:58.018913,38.1,86.7,25440,12,False,206.0,22,
6,2023-06-02 11:51:58.094400,46.7,86.7,25440,12,False,206.0,22,
17,2023-06-02 11:51:58.188662,39.7,86.7,25440,12,False,206.0,22,
7,2023-06-02 11:51:58.262176,46.1,86.7,25440,12,False,206.0,22,
7,2023-06-02 11:51:58.346742,43.6,86.7,25440,12,True,580.0,22,
7,2023-06-02 11:51:58.429979,62.1,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:51:58.516969,44.9,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:51:58.601858,40.5,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:51:58.687884,42.4,86.7,25440,12,False,580.0,22,
9,2023-06-02 11:51:58.768831,42.1,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:51:58.853240,39.3,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:51:58.939525,40.2,86.7,25440,12,False,580.0,22,
9,2023-06-02 11:51:59.020738,42.2,86.7,25440,12,False,580.0,22,
