pixel,fps,pv,ra,stream,model,GPU,surprise
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.89,3,Xavier GPU,1,1914
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,0.94,0.89,3,Xavier GPU,1,1922
360,22,1.0,0.89,3,Xavier GPU,1,1914
360,22,1.0,0.89,3,Xavier GPU,1,1914
360,22,0.94,0.89,3,Xavier GPU,1,1922
360,22,0.94,0.94,3,Xavier GPU,1,1926
360,22,1.0,0.83,3,Xavier GPU,1,1910
360,22,1.0,0.89,3,Xavier GPU,1,1914
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.89,3,Xavier GPU,1,1914
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,1.0,0.94,3,Xavier GPU,1,1917
360,22,0.94,0.89,3,Xavier GPU,1,1922
360,22,1.0,0.89,3,Xavier GPU,1,1914
360,22,1.0,0.89,3,Xavier GPU,1,1914
