timestamp,cpu,device,disable_aci,gpu
2023-10-06 09:33:52.216214,25,Xavier,TRUE,1
2023-10-06 09:33:54.876197,20,Xavier,TRUE,1
2023-10-06 09:33:57.542113,23,Xavier,TRUE,1
2023-10-06 09:34:00.200338,0,Xavier,TRUE,1
2023-10-06 09:34:02.864228,40,Xavier,TRUE,1
2023-10-06 09:34:05.629060,33,Xavier,TRUE,1
2023-10-06 09:34:08.393063,18,Xavier,TRUE,1
2023-10-06 09:34:10.953597,40,Xavier,TRUE,1
2023-10-06 09:34:13.947691,17,Xavier,TRUE,1
2023-10-06 09:34:16.362231,38,Xavier,TRUE,1
2023-10-06 09:34:18.974699,18,Xavier,TRUE,1
2023-10-06 09:34:21.705344,33,Xavier,TRUE,1
2023-10-06 09:34:24.264980,25,Xavier,TRUE,1
2023-10-06 09:34:26.617868,25,Xavier,TRUE,1
2023-10-06 09:34:29.297200,37,Xavier,TRUE,1
2023-10-06 09:34:31.943102,20,Xavier,TRUE,1
2023-10-06 09:34:34.606687,25,Xavier,TRUE,1
2023-10-06 09:34:37.165340,20,Xavier,TRUE,1
2023-10-06 09:34:39.931513,19,Xavier,TRUE,1
2023-10-06 09:34:42.473520,25,Xavier,TRUE,1
2023-10-06 09:34:45.256236,19,Xavier,TRUE,1
2023-10-06 09:34:47.918821,30,Xavier,TRUE,1
2023-10-06 09:34:50.581538,20,Xavier,TRUE,1
2023-10-06 09:34:53.141660,33,Xavier,TRUE,1
2023-10-06 09:34:55.804123,20,Xavier,TRUE,1
2023-10-06 09:34:58.363197,38,Xavier,TRUE,1
2023-10-06 09:35:01.128709,21,Xavier,TRUE,1
2023-10-06 09:35:03.791058,25,Xavier,TRUE,1
2023-10-06 09:35:06.453475,37,Xavier,TRUE,1
2023-10-06 09:35:09.012679,25,Xavier,TRUE,1
2023-10-06 09:35:11.777920,20,Xavier,TRUE,1
2023-10-06 09:35:14.440497,30,Xavier,TRUE,1
2023-10-06 09:35:17.206228,19,Xavier,TRUE,1
2023-10-06 09:35:19.765989,30,Xavier,TRUE,1
2023-10-06 09:35:22.472588,30,Xavier,TRUE,1
2023-10-06 09:35:25.089884,30,Xavier,TRUE,1
2023-10-06 09:35:27.562172,22,Xavier,TRUE,1
2023-10-06 09:35:30.210792,0,Xavier,TRUE,1
2023-10-06 09:35:32.973362,19,Xavier,TRUE,1
2023-10-06 09:35:35.533917,25,Xavier,TRUE,1
2023-10-06 09:35:38.197961,15,Xavier,TRUE,1
2023-10-06 09:35:40.755745,0,Xavier,TRUE,1
2023-10-06 09:35:43.317222,16,Xavier,TRUE,1
2023-10-06 09:35:45.774235,15,Xavier,TRUE,1
2023-10-06 09:35:48.436270,22,Xavier,TRUE,1
2023-10-06 09:35:51.097740,25,Xavier,TRUE,1
2023-10-06 09:35:53.863224,20,Xavier,TRUE,1
2023-10-06 09:35:56.424514,38,Xavier,TRUE,1
2023-10-06 09:35:59.188081,16,Xavier,TRUE,1
2023-10-06 09:36:01.762341,0,Xavier,TRUE,1
2023-10-06 09:36:04.412122,20,Xavier,TRUE,1
2023-10-06 09:36:07.072704,20,Xavier,TRUE,1
