timestamp,cpu,device,disable_aci,gpu
2023-10-06 09:49:47.419819,50,Xavier,False,0
2023-10-06 09:49:50.179768,25,Xavier,False,0
2023-10-06 09:49:52.471879,57,Xavier,False,0
2023-10-06 09:49:54.791246,28,Xavier,False,0
2023-10-06 09:49:58.064093,50,Xavier,False,0
2023-10-06 09:50:01.649281,60,Xavier,False,0
2023-10-06 09:50:05.849706,80,Xavier,False,0
2023-10-06 09:50:10.556703,66,Xavier,False,0
2023-10-06 09:50:13.835029,42,Xavier,False,0
2023-10-06 09:50:16.597881,25,Xavier,False,0
2023-10-06 09:50:19.361604,71,Xavier,False,0
2023-10-06 09:50:22.026566,16,Xavier,False,0
2023-10-06 09:50:24.993862,50,Xavier,False,0
2023-10-06 09:50:27.739523,42,Xavier,False,0
2023-10-06 09:50:30.626604,40,Xavier,False,0
2023-10-06 09:50:33.596728,50,Xavier,False,0
2023-10-06 09:50:36.260876,40,Xavier,False,0
2023-10-06 09:50:39.126291,60,Xavier,False,0
2023-10-06 09:50:41.993746,33,Xavier,False,0
2023-10-06 09:50:44.961406,20,Xavier,False,0
2023-10-06 09:50:47.624351,50,Xavier,False,0
2023-10-06 09:50:50.594681,80,Xavier,False,0
2023-10-06 09:50:53.565940,33,Xavier,False,0
2023-10-06 09:50:56.432434,71,Xavier,False,0
2023-10-06 09:50:59.504957,25,Xavier,False,0
2023-10-06 09:51:02.266594,60,Xavier,False,0
2023-10-06 09:51:04.854315,40,Xavier,False,0
2023-10-06 09:51:07.798604,40,Xavier,False,0
2023-10-06 09:51:10.561997,40,Xavier,False,0
2023-10-06 09:51:13.430699,60,Xavier,False,0
2023-10-06 09:51:16.400033,25,Xavier,False,0
2023-10-06 09:51:19.163592,50,Xavier,False,0
2023-10-06 09:51:22.440756,12,Xavier,False,0
2023-10-06 09:51:25.078139,60,Xavier,False,0
2023-10-06 09:51:27.970035,20,Xavier,False,0
2023-10-06 09:51:30.735302,40,Xavier,False,0
2023-10-06 09:51:33.500603,40,Xavier,False,0
2023-10-06 09:51:36.161812,33,Xavier,False,0
2023-10-06 09:51:39.079175,50,Xavier,False,0
2023-10-06 09:51:41.692722,60,Xavier,False,0
2023-10-06 09:51:44.661686,50,Xavier,False,0
2023-10-06 09:51:47.428523,75,Xavier,False,0
2023-10-06 09:51:50.088884,40,Xavier,False,0
2023-10-06 09:51:53.059349,50,Xavier,False,0
2023-10-06 09:51:55.721421,50,Xavier,False,0
2023-10-06 09:51:58.692124,20,Xavier,False,0
2023-10-06 09:52:01.558811,40,Xavier,False,0
2023-10-06 09:52:04.322723,83,Xavier,False,0
2023-10-06 09:52:06.984768,33,Xavier,False,0
2023-10-06 09:52:09.882762,21,Xavier,False,0
2023-10-06 09:52:13.335424,66,Xavier,False,0
2023-10-06 09:52:16.713067,60,Xavier,False,0
2023-10-06 09:52:19.579667,50,Xavier,False,0
2023-10-06 09:52:22.345757,25,Xavier,False,0
2023-10-06 09:52:25.008552,40,Xavier,False,0
2023-10-06 09:52:28.081267,18,Xavier,False,0
2023-10-06 09:52:30.742812,50,Xavier,False,0
2023-10-06 09:52:33.611319,50,Xavier,False,0
2023-10-06 09:52:36.290109,75,Xavier,False,0
2023-10-06 09:52:39.036449,60,Xavier,False,0
2023-10-06 09:52:42.006250,50,Xavier,False,0
2023-10-06 09:52:44.976788,66,Xavier,False,0
2023-10-06 09:52:47.639908,50,Xavier,False,0
2023-10-06 09:52:50.609919,50,Xavier,False,0
2023-10-06 09:52:53.476163,66,Xavier,False,0
2023-10-06 09:52:56.445250,35,Xavier,False,0
2023-10-06 09:52:59.005558,57,Xavier,False,0
2023-10-06 09:53:01.872924,20,Xavier,False,0
2023-10-06 09:53:04.533901,25,Xavier,False,0
2023-10-06 09:53:07.196931,22,Xavier,False,0
2023-10-06 09:53:09.964432,50,Xavier,False,0
2023-10-06 09:53:12.470616,50,Xavier,False,0
2023-10-06 09:53:15.082406,0,Xavier,False,0
2023-10-06 09:53:18.154166,17,Xavier,False,0
2023-10-06 09:53:20.819220,60,Xavier,False,0
2023-10-06 09:53:23.480580,40,Xavier,False,0
2023-10-06 09:53:26.244703,66,Xavier,False,0
2023-10-06 09:53:29.316410,22,Xavier,False,0
2023-10-06 09:53:32.287629,66,Xavier,False,0
2023-10-06 09:53:35.049103,18,Xavier,False,0
2023-10-06 09:53:38.019125,60,Xavier,False,0
2023-10-06 09:53:40.374445,83,Xavier,False,0
2023-10-06 09:53:42.508503,0,Xavier,False,0
2023-10-06 09:53:45.086181,20,Xavier,False,0
2023-10-06 09:53:48.053852,42,Xavier,False,0
2023-10-06 09:53:50.717101,60,Xavier,False,0
2023-10-06 09:53:53.379742,33,Xavier,False,0
2023-10-06 09:53:56.145544,25,Xavier,False,0
2023-10-06 09:53:59.113198,20,Xavier,False,0
2023-10-06 09:54:01.777960,60,Xavier,False,0
